Sample_ID,Feedstock_Type,Temperature_C,Moisture_%,pH,EC_dS_m,RH_%,NIR_Intensity,RGB_R,RGB_G,RGB_B,Texture_Entropy,Color_Variance,Maturity_Index,Contamination_Risk,Nutrient_Score
1,FoodWaste,30.130399189637345,49.25221812798112,7.978157217209224,4.825289762844633,60.71580081890322,0.7941824870095142,101,132,114,1.4345241045885835,38.63643092057073,0.9732877424824108,0.5459021341591247,0.43523107560180607
2,HorticWaste,25.909904964420306,66.58647300667536,5.737556834140952,2.8459202712144553,79.99390913308343,0.6196372742972741,113,192,60,4.395976923659805,56.5506890224614,0.9290194987382887,0.47200915723844733,0.5495310404259265
3,AgroByproduct,51.32957832609989,66.4558404334382,7.439788949909554,2.933194603728855,79.8221187102676,0.7404223136329431,96,132,108,7.5501331321216885,69.63231573379838,0.5176516980100302,0.5775628760986347,0.5954285889466809
4,HorticWaste,70.0,49.24917593006364,5.311189304943714,0.2,86.0307424253256,0.7005418190575718,127,181,143,6.0342135584483,48.27839748692842,0.40035571646913404,0.31294967510847793,0.7165016481398727
5,HorticWaste,49.352381371851315,74.3362849636531,6.299397340069392,2.1134149765354406,80.62193574110023,0.7501446718904068,178,95,72,4.529869133361437,18.96835257739118,0.5275251222394929,0.4159880072123406,0.5706566812459218
6,Manure,61.72046882004341,57.487199800050696,5.9730285938592065,2.7038526577317965,81.23235160276248,0.6640243186399164,54,185,96,1.0352659494667833,69.66859998337436,0.40857683506701936,0.3041435279159874,0.6498329675133088
7,AgroByproduct,56.3357329078902,57.137915904861856,7.54773166365929,1.738482828495147,78.37520785420449,0.42024615873577464,159,94,86,4.623565299921907,94.87595433980103,0.38533325513361716,0.36825726778833373,0.6738000267655189
8,AgroByproduct,39.81663990125914,58.823682493320575,8.331669315135407,2.713292245966703,78.05907933140276,0.2898795410847025,145,162,127,7.43997736112242,92.29951802344091,0.614159914078116,0.5551068382059827,0.6216880227150237
9,AgroByproduct,57.653159809906256,80.0793865579903,7.849691840371179,3.218677405929167,93.72904429744639,0.31830261656192965,125,75,158,4.816383752870417,35.539243922793545,0.27215326535586276,0.49883750789340453,0.553907356587561
10,HorticWaste,40.21425308487485,76.33429960715101,7.822601734868602,3.4236052494279954,75.15268987806579,0.2555252171434096,174,149,56,2.0667103738303383,86.01288720345941,0.5433697685358148,0.43280207647097063,0.5011511383142981
11,FoodWaste,40.41292130461641,85.0,6.2548757723392905,2.3909577367702433,83.68402006702979,0.6921938030469705,69,67,145,6.221457397090647,75.09061560229311,0.6444008880339875,0.5225511304550862,0.48545211316148784
12,AgroByproduct,42.9140767406369,68.25715406761135,7.466306277120719,0.9424946816555582,70.99013663445587,0.51999802341166,163,77,61,3.869846788274783,66.88884213501879,0.5933553689253327,0.2736604780316009,0.6913609577819994
13,PaperResidue,43.3880197767287,85.0,7.191602704065678,2.586338659070746,64.7148964624243,0.26629943524752814,154,149,79,5.296745646715304,93.09892680012867,0.45777024683958467,0.5141561833410527,0.45068306704646277
14,HorticWaste,51.61369463186148,63.57162487881321,6.059634199023114,2.0798161782677522,70.21110387491854,0.809917656167451,97,77,94,7.925566675355403,11.555895350143402,0.5429952507106367,0.5405267651814736,0.593865941328986
15,Manure,38.29113264109195,58.103559430057686,7.860825584994827,1.7325789916382397,72.54783469660033,0.7131393754784163,94,130,62,7.527882297821743,96.86475001434255,0.7737255523333633,0.4666771688048353,0.6971639315579727
16,FoodWaste,53.89102778582977,53.427976279088064,7.346990573348791,2.2177483965656744,64.50642852387503,0.1654193685353318,99,127,138,4.4760827338976075,94.18050235044412,0.34898270713778756,0.44266546890163316,0.5572566276135402
17,PaperResidue,53.74744083031471,57.3569146203025,6.824941829313062,2.1531897910633924,60.102088536946034,0.757427277394374,138,78,67,2.782995952024285,92.71580360468258,0.5166409991177543,0.3837948307895267,0.5276266812062255
18,PaperResidue,48.429635324444845,58.09237474697255,7.656991954026341,2.2819010715066588,86.97953517873343,0.6933671729431649,124,177,109,1.171680430192664,58.126499263049865,0.574461825365119,0.33409643875777983,0.5197201969307219
19,Manure,64.39611908607445,49.71497750007959,7.118358803500331,2.0427802817297427,69.0136920055162,0.6378913056156703,143,102,177,3.856001743415946,18.903432920818474,0.4063836885604508,0.35483175552224316,0.6984310309133537
20,FoodWaste,57.87392648658309,51.140403979920166,7.960958855775397,3.9379819671817273,72.18377675802039,0.02730299728323961,129,128,180,1.9741833742445314,54.480841734447594,0.26948383921067093,0.49219704046598056,0.4758200936810733
21,HorticWaste,55.69729290200465,69.11320085453899,8.5,2.7661884139747377,69.26189233477291,0.49958412578537365,107,180,172,2.5763592481522886,82.55855653896134,0.3803396247564418,0.3971291729702723,0.5484641775921851
22,CropResidue,45.661533745432514,52.678376832927704,6.776684198033421,2.770305964418171,51.85162741765417,0.4537801481632969,141,68,196,5.964497956168841,47.735435742880455,0.5677988231712048,0.5345275037245125,0.5561279481132361
23,FoodWaste,48.51766137814326,34.494262580455946,6.767861554766557,2.915637072255551,91.38703525984079,0.3400504825410863,91,104,98,1.9898691320769057,31.33301291980034,0.5377823579018703,0.4075898484741799,0.5602296212263106
24,Manure,50.23807363087754,33.731300642764076,6.6073810459119295,1.1256644674652725,65.78260413415083,0.6672545697250345,109,75,139,7.856081904932008,90.94132491402873,0.6104116179010938,0.428408443723723,0.7762541753412082
25,PaperResidue,45.13241373527605,28.539398497641354,7.013917015536664,3.5144492142116794,85.12068703888056,0.4504785429793966,113,88,93,2.077904986357179,31.57807310469548,0.6490725512771114,0.47079220483936746,0.5171987422941333
26,HorticWaste,41.244305396915294,38.737586328638926,8.080795768215241,5.75159667539782,65.07610183030053,0.7835141758135351,92,193,75,7.2698467054836025,95.14553109823503,0.7939874453992077,0.8219189744054534,0.45994499357283114
27,FoodWaste,25.0,42.00097721535164,6.151247474241195,1.5375827029473443,77.26971525902789,0.26969895302340596,169,177,62,3.381820485477317,30.75362432833121,0.9089663352158819,0.3449501601176781,0.6141189104219296
28,CropResidue,52.17765409124823,45.38966496592939,5.903660571604286,1.825341240601712,84.52185978382079,0.1837309573541134,111,142,134,5.350266329612434,31.367606031876033,0.4016142412012226,0.4327467574106089,0.6179536080380555
29,CropResidue,55.41447216883354,64.2904863523959,7.188766962711925,1.9510769373272556,63.22780045449394,0.7983310458020508,130,89,94,4.732174615698863,85.12148488698492,0.48768784709093027,0.42004629286597867,0.5738651804288455
30,AgroByproduct,33.38881143843164,40.920039237252,6.970034410226049,2.798963311156626,70.90858657738994,0.6882703280613428,140,158,167,1.3468995753390436,29.16101143981692,0.9113303240373856,0.3337556766715996,0.6532117559676648
31,AgroByproduct,51.05168649720491,46.20864056916476,7.154438217162704,2.3642216658474515,68.79573079104404,0.5259551686909227,164,140,60,6.427549306162325,41.31751805416627,0.5181787875855695,0.48805157113504144,0.6643716355692979
32,Manure,39.08473321682476,32.52270588105681,5.434846166301942,1.9850601229566738,70.49712587419022,0.5984058045846915,161,120,130,2.1885254425874208,60.0099447601824,0.8002461912393057,0.2874913810100844,0.7357015820900528
33,FoodWaste,41.334708175929265,50.093956506785496,8.233042198165572,3.0859100479572,82.73512522021532,0.2977563274090308,169,175,86,2.4163735423520265,72.40983324407244,0.6123904232218826,0.43777317850130104,0.5205165845885691
34,FoodWaste,58.10760527363354,70.85833375724151,7.164245949232024,2.8878034940130726,88.87633432815618,0.329507573867986,185,58,162,4.625361868712826,23.202458785632224,0.29871425828336573,0.504101361244487,0.48889315778486336
35,PaperResidue,35.09365609785986,59.64941918780675,8.5,3.7226764644179706,71.4296448421775,0.5435977677449955,88,152,197,1.1530971851392935,79.17696720942189,0.7803357664196939,0.453464183144221,0.444567338403488
36,PaperResidue,35.0785221130678,61.22982327994998,7.330808438396586,2.644329416607413,77.6960574799077,0.620198992568979,121,94,62,5.920048505000921,50.36973478247163,0.7988600405639594,0.5423626036548189,0.49532388260972937
37,PaperResidue,63.04834365643998,59.970690016988314,6.6788538391575125,2.4591962664492044,61.89518281020221,0.4708117828788597,131,53,191,2.595452029366286,90.57530174767096,0.33391016207404023,0.40226247330533604,0.5070988066435631
38,AgroByproduct,43.54443301463616,40.72770872852402,7.203965552238147,2.0659945239649096,95.0,0.2974175980159991,193,150,63,4.689705088897791,69.00620409442685,0.596886431903494,0.3980301511640763,0.6902448563447064
39,FoodWaste,57.465455932310675,53.86866263491775,8.183645707641535,2.7351937676059954,80.00585639532831,0.8134637751813754,136,147,123,2.167942138457149,30.76348670896649,0.5012198883395185,0.3992306441593093,0.5305029863498647
40,FoodWaste,29.012971381710656,63.3146305243076,6.42362661741127,1.4576001450923315,83.39757310754165,0.7587261659990369,191,120,109,5.87403575761766,42.0142703427515,0.9376875438932784,0.4317430196683565,0.5754907316967682
41,CropResidue,29.81396730409147,74.54335337901571,7.467597680414336,3.5876353298566652,70.1849977553495,0.7694619537230969,68,179,113,1.1033735504388003,81.71772105559646,0.8949688812113363,0.4203461189628438,0.4715315267491353
42,AgroByproduct,35.87055484421579,65.45406998237343,7.350217998042881,3.125836752796417,85.70330947782541,0.2606493066599317,152,105,123,3.339337294074391,39.73914226106635,0.663267548325889,0.43571154459415773,0.5878000223954323
43,HorticWaste,40.18539223467311,73.20914203919693,7.47525200458053,2.723627214520719,76.38935844604976,0.3590332519471828,150,175,153,4.372920847856001,21.754187248460422,0.5843748109691709,0.46095346633799333,0.5424003551955702
44,AgroByproduct,30.96713403346888,43.70645249723832,6.272822523375105,2.097262757796015,84.64671017340522,0.7819336970247188,97,104,53,2.184106566241113,97.90907569980622,0.9727602961822246,0.306675892717043,0.6827239571157225
45,HorticWaste,48.692964764299994,37.44990009500772,7.510050679674917,4.138474387178778,65.77548593629075,0.26110300927561425,139,175,174,1.0064368653002127,94.52417755520716,0.5023017718626652,0.4526142480469895,0.5431764804510456
46,CropResidue,49.34594168656782,33.71368827075899,7.4498619472495875,1.9518728963211625,76.80897055296765,0.2421941879918624,119,69,100,7.283249307696024,35.952496659907055,0.49711206160021426,0.515777923732031,0.6349789786424238
47,Manure,36.01857122161462,72.25599805097464,8.253404490008624,1.6497799570285085,54.69591103391156,0.43350840954823483,188,106,66,6.874383072742773,42.895388781216056,0.6918776366268751,0.43527102831356296,0.6729990060466253
48,FoodWaste,36.81401300609198,38.40452753122186,8.418361784760792,2.1908450916864317,81.23977785801358,0.42337036167801734,73,194,155,1.3429020214393947,88.3465872339375,0.7749836911439432,0.3229292501111799,0.5886486903532347
49,CropResidue,38.132185661484385,75.92557789332096,7.298362142071496,3.326917677993934,80.55452123696837,0.40977226204593764,143,190,191,6.318843866762555,10.306074484195948,0.6324030042536812,0.5941997848364238,0.4818029603136613
50,FoodWaste,33.351142011069584,53.31022323780417,7.183323188136574,3.933015324475529,56.503795891010924,0.47521568272807585,186,73,71,2.77811739618664,44.79206123807017,0.8109196830113928,0.5219306793966264,0.4717287873006152
51,PaperResidue,25.0,85.0,6.2315318141481315,3.560388747759662,63.674499704778626,0.35951093682110624,111,139,60,1.2286560060577671,14.98039680509973,0.8069128620012469,0.44277366254047146,0.4019805626120169
